job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
AI/ML Engineer,Getz Group,Other,2026-04-24,,,,Full-time,Mid,,"Scala, REST, AI, Excel, CRM",linkedin,True
DevOps/Infra Engineer,Home Credit Vietnam,Ho Chi Minh City,2026-05-07,,,,Full-time,Senior,3.0,"Terraform, Ansible, Git, Linux, VMware, Networking, Security",linkedin,True
Other,INFUSE,Other,2026-05-06,,,,Full-time,Mid,,"Scala, Machine Learning, Security",linkedin,True
System/Network Admin,FPT Retail,Hanoi,2026-04-17,,,,Full-time,Mid,2.0,,linkedin,True
IT Manager,VNDIRECT Securities Corporation,Hanoi,2026-04-17,,,,Full-time,Mid,15.0,"DevOps, Agile, AI, ITIL, CRM, PMP",linkedin,True
Fullstack/Software Engineer,SOCOTEC,Hanoi,2026-05-08,,,,Full-time,Manager+,,"Java, JavaScript, SQL, HTML",linkedin,True
IT Manager,KLU Kühne Logistics University,Ho Chi Minh City,2026-05-07,,,,Full-time,Junior,,"Scala, Excel",linkedin,True
IT Support,Vast.ai,Other,2026-05-05,,,,Full-time,Junior,,"Rust, Scala, Docker, Linux, AI, TensorFlow, PyTorch",linkedin,True
Business Analyst,LTS Group,Hanoi,2026-05-06,,,,Full-time,Mid,2.0,"SQL, Jira, Confluence, Figma, API",linkedin,True
IT Support,TrueCommerce,Ho Chi Minh City,2026-04-24,,,,Full-time,Mid,,"Swift, Perl",linkedin,True
Other,Handshakes by DC Frontiers,Hanoi,2026-04-24,,,,Full-time,Junior,2.0,"Python, SQL, AI, Power BI",linkedin,True
System/Network Admin,NetNam Corporation,Ho Chi Minh City,2026-05-06,,,,Full-time,Junior,2.0,"Python, PHP, Docker, Git, API, VMware",linkedin,True
System/Network Admin,CTY TNHH SAN XUAT DA THACH ANH,Ho Chi Minh City,1 year ago,,,,Full-time,Mid,,,linkedin,True
Business Analyst,Home Credit Vietnam,Ho Chi Minh City,2026-04-24,,,,Full-time,Mid,3.0,"Scrum, Excel",linkedin,True
IT Manager,Momos,Ho Chi Minh City,2026-04-08,,,,Full-time,Manager+,8.0,"Rust, Scala, REST, AI, Excel, Networking",linkedin,True
System/Network Admin,Công Ty TNHH Artist,Other,2026-04-17,,,,Full-time,Mid,,,linkedin,True
System/Network Admin,Synnex FPT,Hanoi,2026-05-01,,,,Full-time,Mid,,AI,linkedin,True
Other,SOCOTEC,Hanoi,2026-05-07,,,,Full-time,Intern,,Excel,linkedin,True
